,arg_1_id,arg_2_id,state_count
334,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,28
335,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,92
336,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,84
337,building_10,Desk|+03.14|00.00|-01.41,2034
338,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,27
339,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,31
340,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,2
341,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,52
342,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,12
343,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,43
344,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,81
345,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,36
346,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,2
347,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,23
348,building_8,Desk|+03.14|00.00|-01.41,8059
349,Dodgeball|-02.95|+01.29|-02.61,Desk|+03.14|00.00|-01.41,1
350,Dodgeball|-02.95|+01.29|-02.61,Desk|+03.14|00.00|-01.41,1
351,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,14
352,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,31
353,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,50
354,Beachball|-02.93|+00.17|-01.99,Desk|+03.14|00.00|-01.41,3
355,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,24
356,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,43
357,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,5
358,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,819
359,GarbageCan|-02.79|-00.03|-02.67,Desk|+03.14|00.00|-01.41,2
360,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,53
361,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,66
362,DogBed|+02.30|00.00|-02.85,Desk|+03.14|00.00|-01.41,5
363,Beachball|-02.93|+00.17|-01.99,Desk|+03.14|00.00|-01.41,3
